Date,Close_fund,Close_rfr
2016-10-28,443.59,1.72
2016-10-31,444.0,1.72
2016-11-02,432.28,1.72
2016-11-03,430.44,1.72
2016-11-04,423.0,1.72
2016-11-07,433.66,1.72
2016-11-08,433.66,1.72
2016-11-09,437.15,1.73
2016-11-10,447.0,1.73
2016-11-14,451.92,1.73
2016-11-15,454.82,1.73
2016-11-16,452.64,1.73
2016-11-17,453.5,1.73
2016-11-18,454.0,1.73
2016-11-21,454.0,1.73
2016-11-22,454.28,1.73
2016-11-23,454.61,1.73
2016-11-24,451.72,1.73
2016-11-25,453.2,1.73
2016-11-28,447.37,1.73
2016-11-29,451.0,1.73
2016-11-30,454.92,1.73
2016-12-01,452.0,1.73
2016-12-02,452.0,1.73
2016-12-05,459.7,1.73
2016-12-06,460.68,1.73
2016-12-07,465.0,1.73
2016-12-08,472.81,1.73
2016-12-09,476.44,1.73
2016-12-12,478.0,1.73
2016-12-13,480.38,1.73
2016-12-14,480.26,1.73
2016-12-15,483.29,1.73
2016-12-16,481.91,1.73
2016-12-19,481.43,1.73
2016-12-20,484.0,1.73
2016-12-21,482.46,1.73
2016-12-22,482.43,1.73
2016-12-23,482.12,1.73
2016-12-27,485.48,1.73
2016-12-28,485.5,1.73
2016-12-29,485.39,1.73
2016-12-30,483.06,1.73
2017-01-02,488.38,1.73
2017-01-03,488.47,1.73
2017-01-04,485.06,1.73
2017-01-05,485.25,1.73
2017-01-09,485.25,1.73
2017-01-10,485.74,1.73
2017-01-11,487.38,1.73
2017-01-12,483.0,1.73
2017-01-13,488.0,1.73
2017-01-16,485.66,1.73
2017-01-17,488.0,1.73
2017-01-18,485.77,1.73
2017-01-19,486.89,1.73
2017-01-20,486.5,1.73
2017-01-23,484.03,1.73
2017-01-24,486.14,1.73
2017-01-25,491.74,1.73
2017-01-26,492.0,1.73
2017-01-27,491.0,1.73
2017-01-30,487.08,1.73
2017-01-31,483.0,1.73
2017-02-01,483.0,1.73
2017-02-02,480.74,1.73
2017-02-03,477.85,1.73
2017-02-06,475.0,1.73
2017-02-07,477.15,1.73
2017-02-08,476.39,1.73
2017-02-09,480.62,1.73
2017-02-10,481.59,1.73
2017-02-13,487.57,1.73
2017-02-14,486.16,1.73
2017-02-15,485.97,1.73
2017-02-16,487.55,1.73
2017-02-17,485.37,1.73
2017-02-20,490.0,1.73
2017-02-21,490.5,1.73
2017-02-22,494.0,1.73
2017-02-23,494.0,1.73
2017-02-24,487.27,1.73
2017-02-27,488.0,1.73
2017-02-28,488.0,1.73
2017-03-01,496.5,1.73
2017-03-02,497.0,1.73
2017-03-03,493.4,1.73
2017-03-06,494.0,1.73
2017-03-07,494.9,1.73
2017-03-08,495.21,1.73
2017-03-09,495.5,1.73
2017-03-10,494.8,1.73
2017-03-13,499.69,1.73
2017-03-14,498.0,1.73
2017-03-15,497.0,1.73
2017-03-16,494.93,1.73
2017-03-17,497.0,1.73
2017-03-20,495.12,1.73
2017-03-21,485.0,1.73
2017-03-22,489.37,1.73
2017-03-23,491.04,1.73
2017-03-24,490.92,1.73
2017-03-27,485.2,1.73
2017-03-28,491.1,1.73
2017-03-29,493.5,1.73
2017-03-31,496.13,1.73
2017-04-03,499.75,1.73
2017-04-04,498.1,1.73
2017-04-05,496.29,1.73
2017-04-06,495.0,1.73
2017-04-07,494.42,1.73
2017-04-10,495.0,1.73
2017-04-11,493.0,1.73
2017-04-12,494.0,1.73
